WELCOME,TO,OUR APP
*******,SONGS,********
Song,Artist,Link
Centuries,Fall Out Boy,https://youtu.be/LBr7kECsjcQ
My Demons,Starset,https://youtu.be/nkll0StZJLA
Money,Lisa,https://youtu.be/dNCWe_6HAM8
Aegiri Nandini,Rajalakshmee Sanjay,https://youtu.be/442ewPgXHQ0
Sadda Haq,Mohit Chauhan,https://youtu.be/p9DQINKZxWE
-------------------------------,,------------
********,MOVIES,********
Name,Year of Release,Link
RRR,2022,https://youtu.be/Q-vW3UKZpkQ
Kabhir Singh,2018,https://youtu.be/G4Tbv4_S_c0
John Wick,2014,https://youtu.be/E0cTQgS2mEc
------------,------------,------------
Food : Juices,Sport : Running,Activity: Gyming
