WELCOME,TO,OUR APP
********,SONGS,********
Song,Artist,Link
Look What You Made Me Do,Taylor Swift,https://youtu.be/3tmd-ClpJxA
Blank Space,Taylor Swift,https://youtu.be/e-ORhEE9VVg
My Future,Billie Eilish,https://youtu.be/Dm9Zf1WYQ_A
Jee Karda,Divya Kumar,https://youtu.be/VAJK04HOLd0
It's My Life,Sandaru Sathsara,https://www.youtube.com/watch?v=rdi7G1hY4-w
------------,------------,-------------
********,MOVIES,********
Name,Year of Release,Link
Stranger Things,2016-2024,https://www.imdb.com/title/tt4574334/?ref_=fn_al_tt_1
Thirteen,2003,https://www.imdb.com/title/tt0328538/?ref_=kw_li_i
Table No. 21,2013,https://youtu.be/IfpdJ-Bx5qk
------------,-------------,-------------
Food : Try having your comfort food,Sport : Swimming,Activity : Self-Care and Mindfullness Practice
