WELCOME,TO,OUR APP
********,SONGS,********
Song,Artist,Link
Cardigan,Taylor Swift,https://www.youtube.com/watch?v=K-a8s8OLBSE
O Sathi,Atif Aslam,https://www.youtube.com/watch?v=OX-h7MtkeOI
Baaton Baaton Main,Shashwat Sachdev ft. Anumita Nadesan,https://youtu.be/dNCWe_6HAM8
You Are My Sunshine,Charles Mc,https://youtu.be/aYeGZqTEbec
Beyond the Sea,Bobby Darin,https://youtu.be/m8OlDPqYBLw
------------,------------,-------------
********,MOVIES,********
Name,Year of Release,Link
Ajab Prem Ki Ghazab Kahani,2009,https://www.youtube.com/watch?v=dbTkItiju1w
Paddington,2014,https://www.youtube.com/watch?v=77omIli7wI4
Nun,2018,https://youtu.be/VSaEdshUCzA
-------------,-------------,---------------
Food : Fruits,Sport : Yoga, Activity : Try talking with loved ones!
