WELCOME,TO,OUR APP
********,SONGS,********
Song,Artist,Link
Dynamite,BTS,https://outu.be/gdZLi9oWNZg
You Belong With Me,Taylor Swift,https://youtu.be/VuNIsY6JdUw
Cheap Thrills (feat. Sean Paul),Sia,https://youtu.be/nYh-n7EOtMA
Kudi Nu Nachne De,"Vishal Dadlani, Sachin-Jigar",https://youtu.be/oSpMspvMkSQ
Love You Zindag,"Amit Trivedi,Jasleen Royal",https://youtu.be/bw7bVpI5VcM
------------,------------,------------
********,MOVIES,********
Name,Year of Release,Link
Hera Pheri,2000,https://youtu.be/TIQ5hrfermg
Golmaal: Fun Unlimited,2006,https://youtu.be/ZmE6TN9bYQg
Ice Age,2002,https://www.youtube.com/watch?v=2urGD46OEU8
------------,-------------,-------------
Food : Salad,Sport : Any,Activity: Take a new course!
