WELCOME,TO,OUR APP
*********,SONGS,**********
Song,Artist,Link
Night Changes,One Direction,https://youtu.be/syFZfO_wfMQ
Friends,Anne-Marie,https://youtu.be/jzD_yyEcp0M
22,Taylor Swift,https://www.youtube.com/watch?v=AgFeZr5ptV8
Pehli Nazar Mein,Atif Aslam,https://youtu.be/BadBAMnPX0I
Brown Munde,AP Dhillon,https://youtu.be/VNs_cCtdbPc
---------,----------,------------
**********,Movies,************
Name,Year of Release,Link
Yeh Jawaani Hai Deewani,2013,https://youtu.be/6GDyEn1mjBw
Zindagi Na Milegi Dobara,2011,https://youtu.be/g_VCfqw72FU
Jab We Met,2007,https://youtu.be/jf2gOSORoqU
----------,----------,-----------
"Food : Pizza,Normal food",Sport : Any, Activity : Learn anything new!
