WELCOME,TO,OUR APP
********,SONGS,********
Song,Artist,Link
Arcade, Duncan Laurence,https://youtu.be/51u5fnyrGj4
Spring Day,BTS,https://youtu.be/xEeFrLSkMm8
Iktara,Anit Trivedi,https://youtu.be/fSS_R91Nimw
Kabira,Rekha Bhardwaj,https://youtu.be/jHNNMj5bNQw
Agar Tum Saath Ho,Arijit Singh,https://youtu.be/sK7riqg2mr4
------------,------------,-------------
********,MOVIES,********
Name,Year of Release,Link
The Faullt In Our Stars,2014,https://youtu.be/dSzqdScg3Bc
Ae Dil hai Mushkil,2016,https://youtu.be/sXXqr7WOi-M
Baghbhan,2003,https://youtu.be/RqGnZEpsIQw
-------------,-------------,--------------
Food : Ice-Cream,"Sport : Ludo,Dumsheras","Activity: Long Drive, Walk! "
