WELCOME,TO,OUR APP
********,SONGS,********
Song,Artist,Link
Astronaut in the Ocean,Masked Wolf,https://youtu.be/MEg-oqI9qmw
Watermelon Sugar,Harry Styles,https://youtu.be/E07s5ZYygMg
Ready For It,Taylor Swift,https://youtu.be/wIft-t-MQuE
Kill Dil,Sonu Nigam,https://www.youtube.com/watch?v=Rn6HPDltaWk
Sultan,"Sukhwinder Singh, Shadab Faridi, Vishal & Shekhar",https://www.youtube.com/watch?v=abiL84EAWSY
------------,-------------,-------------
********,MOVIES,********
Name,Year of Release,Link
Andhadhun,2018,https://www.jiocinema.com/movies/andhadhun/3501256/watch
Bhool Bhulaiya 2,2022,https://youtu.be/-F0YeWMVnRs
Mission Impossible Fallout,2018,https://www.youtube.com/watch?v=z0ImZkeTHs4
--------------,--------------,--------------
"Food : Try new food,sea food","Sport : Basketball,Tennis","Activity : Reading new books, articles!"
